symbol,name,ts_code,exchange,market,area,industry,list_date,is_hs,chairman,manager,reg_capital,setup_date,province,city,employees,website,main_business,is_st,industry_csrc,industry_csrc_class
1,平安银行,000001.SZ,SZSE,主板,深圳,银行,19910403,S,,,,,,,,,,False,,
2,万科Ａ,000002.SZ,SZSE,主板,深圳,全国地产,19910129,S,,,,,,,,,,False,,
4,*ST国华,000004.SZ,SZSE,主板,深圳,软件服务,19901201,N,,,,,,,,,,True,,
6,深振业Ａ,000006.SZ,SZSE,主板,深圳,区域地产,19920427,S,,,,,,,,,,False,,
7,全新好,000007.SZ,SZSE,主板,深圳,其他商业,19920413,N,,,,,,,,,,False,,
8,神州高铁,000008.SZ,SZSE,主板,北京,运输设备,19920507,S,,,,,,,,,,False,,
9,中国宝安,000009.SZ,SZSE,主板,深圳,电气设备,19910625,S,,,,,,,,,,False,,
10,*ST美丽,000010.SZ,SZSE,主板,深圳,建筑工程,19951027,N,,,,,,,,,,True,,
11,深物业A,000011.SZ,SZSE,主板,深圳,房产服务,19920330,S,,,,,,,,,,False,,
12,南玻Ａ,000012.SZ,SZSE,主板,深圳,玻璃,19920228,S,,,,,,,,,,False,,
14,沙河股份,000014.SZ,SZSE,主板,深圳,全国地产,19920602,N,,,,,,,,,,False,,
16,*ST康佳A,000016.SZ,SZSE,主板,深圳,家用电器,19920327,N,,,,,,,,,,True,,
17,深中华A,000017.SZ,SZSE,主板,深圳,服饰,19920331,N,,,,,,,,,,False,,
19,深粮控股,000019.SZ,SZSE,主板,深圳,农业综合,19921012,S,,,,,,,,,,False,,
20,深华发Ａ,000020.SZ,SZSE,主板,深圳,元器件,19920428,N,,,,,,,,,,False,,
21,深科技,000021.SZ,SZSE,主板,深圳,元器件,19940202,S,,,,,,,,,,False,,
25,特力Ａ,000025.SZ,SZSE,主板,深圳,综合类,19930621,S,,,,,,,,,,False,,
26,飞亚达,000026.SZ,SZSE,主板,深圳,服饰,19930603,S,,,,,,,,,,False,,
27,深圳能源,000027.SZ,SZSE,主板,深圳,火力发电,19930903,S,,,,,,,,,,False,,
28,国药一致,000028.SZ,SZSE,主板,深圳,医药商业,19930809,S,,,,,,,,,,False,,
29,深深房Ａ,000029.SZ,SZSE,主板,深圳,区域地产,19930915,S,,,,,,,,,,False,,
30,富奥股份,000030.SZ,SZSE,主板,吉林,汽车配件,19930929,S,,,,,,,,,,False,,
31,大悦城,000031.SZ,SZSE,主板,深圳,全国地产,19931008,S,,,,,,,,,,False,,
32,深桑达Ａ,000032.SZ,SZSE,主板,深圳,建筑工程,19931028,S,,,,,,,,,,False,,
34,神州数码,000034.SZ,SZSE,主板,深圳,软件服务,19940509,S,,,,,,,,,,False,,
35,中国天楹,000035.SZ,SZSE,主板,江苏,环境保护,19940408,S,,,,,,,,,,False,,
36,华联控股,000036.SZ,SZSE,主板,深圳,全国地产,19940617,S,,,,,,,,,,False,,
37,深南电A,000037.SZ,SZSE,主板,深圳,火力发电,19940701,N,,,,,,,,,,False,,
39,中集集团,000039.SZ,SZSE,主板,深圳,运输设备,19940408,S,,,,,,,,,,False,,
42,中洲控股,000042.SZ,SZSE,主板,深圳,全国地产,19940921,S,,,,,,,,,,False,,
45,深纺织Ａ,000045.SZ,SZSE,主板,深圳,元器件,19940815,S,,,,,,,,,,False,,
48,京基智农,000048.SZ,SZSE,主板,深圳,农业综合,19941101,S,,,,,,,,,,False,,
49,德赛电池,000049.SZ,SZSE,主板,深圳,电气设备,19950320,S,,,,,,,,,,False,,
50,深天马Ａ,000050.SZ,SZSE,主板,深圳,元器件,19950315,S,,,,,,,,,,False,,
55,方大集团,000055.SZ,SZSE,主板,深圳,其他建材,19960415,N,,,,,,,,,,False,,
56,*ST皇庭,000056.SZ,SZSE,主板,深圳,其他商业,19960708,N,,,,,,,,,,True,,
58,深赛格,000058.SZ,SZSE,主板,深圳,商品城,19961226,S,,,,,,,,,,False,,
59,华锦股份,000059.SZ,SZSE,主板,辽宁,石油加工,19970130,S,,,,,,,,,,False,,
60,中金岭南,000060.SZ,SZSE,主板,深圳,铅锌,19970123,S,,,,,,,,,,False,,
61,农产品,000061.SZ,SZSE,主板,深圳,农业综合,19970110,S,,,,,,,,,,False,,
62,深圳华强,000062.SZ,SZSE,主板,深圳,元器件,19970130,S,,,,,,,,,,False,,
63,中兴通讯,000063.SZ,SZSE,主板,深圳,通信设备,19971118,S,,,,,,,,,,False,,
65,北方国际,000065.SZ,SZSE,主板,北京,建筑工程,19980605,S,,,,,,,,,,False,,
66,中国长城,000066.SZ,SZSE,主板,深圳,IT设备,19970626,S,,,,,,,,,,False,,
68,华控赛格,000068.SZ,SZSE,主板,深圳,环境保护,19970611,N,,,,,,,,,,False,,
69,华侨城Ａ,000069.SZ,SZSE,主板,深圳,全国地产,19970910,S,,,,,,,,,,False,,
70,特发信息,000070.SZ,SZSE,主板,深圳,通信设备,20000511,S,,,,,,,,,,False,,
78,ST海王,000078.SZ,SZSE,主板,深圳,医药商业,19981218,N,,,,,,,,,,True,,
88,盐田港,000088.SZ,SZSE,主板,深圳,港口,19970728,S,,,,,,,,,,False,,
89,深圳机场,000089.SZ,SZSE,主板,深圳,机场,19980420,S,,,,,,,,,,False,,
90,天健集团,000090.SZ,SZSE,主板,深圳,建筑工程,19990721,S,,,,,,,,,,False,,
96,广聚能源,000096.SZ,SZSE,主板,深圳,石油贸易,20000724,S,,,,,,,,,,False,,
99,中信海直,000099.SZ,SZSE,主板,深圳,空运,20000731,S,,,,,,,,,,False,,
100,TCL科技,000100.SZ,SZSE,主板,广东,元器件,20040130,S,,,,,,,,,,False,,
151,中成股份,000151.SZ,SZSE,主板,北京,商贸代理,20000906,N,,,,,,,,,,False,,
153,丰原药业,000153.SZ,SZSE,主板,安徽,化学制药,20000920,N,,,,,,,,,,False,,
155,川能动力,000155.SZ,SZSE,主板,四川,新型电力,20000926,S,,,,,,,,,,False,,
156,华数传媒,000156.SZ,SZSE,主板,浙江,影视音像,20000906,S,,,,,,,,,,False,,
157,中联重科,000157.SZ,SZSE,主板,湖南,工程机械,20001012,S,,,,,,,,,,False,,
158,常山北明,000158.SZ,SZSE,主板,河北,软件服务,20000724,S,,,,,,,,,,False,,
159,国际实业,000159.SZ,SZSE,主板,新疆,石油贸易,20000926,N,,,,,,,,,,False,,
166,申万宏源,000166.SZ,SZSE,主板,新疆,证券,20150126,S,,,,,,,,,,False,,
301,东方盛虹,000301.SZ,SZSE,主板,江苏,化纤,20000529,S,,,,,,,,,,False,,
333,美的集团,000333.SZ,SZSE,主板,广东,家用电器,20130918,S,,,,,,,,,,False,,
338,潍柴动力,000338.SZ,SZSE,主板,山东,汽车配件,20070430,S,,,,,,,,,,False,,
400,许继电气,000400.SZ,SZSE,主板,河南,电气设备,19970418,S,,,,,,,,,,False,,
401,金隅冀东,000401.SZ,SZSE,主板,河北,水泥,19960614,S,,,,,,,,,,False,,
402,金融街,000402.SZ,SZSE,主板,北京,全国地产,19960626,S,,,,,,,,,,False,,
403,派林生物,000403.SZ,SZSE,主板,山西,生物制药,19960628,S,,,,,,,,,,False,,
404,长虹华意,000404.SZ,SZSE,主板,江西,家用电器,19960619,S,,,,,,,,,,False,,
407,胜利股份,000407.SZ,SZSE,主板,山东,供气供热,19960703,N,,,,,,,,,,False,,
408,藏格矿业,000408.SZ,SZSE,主板,青海,农药化肥,19960628,S,,,,,,,,,,False,,
409,云鼎科技,000409.SZ,SZSE,主板,山东,软件服务,19960627,S,,,,,,,,,,False,,
410,沈阳机床,000410.SZ,SZSE,主板,辽宁,机床制造,19960718,S,,,,,,,,,,False,,
411,英特集团,000411.SZ,SZSE,主板,浙江,医药商业,19960716,S,,,,,,,,,,False,,
415,渤海租赁,000415.SZ,SZSE,主板,新疆,多元金融,19960716,S,,,,,,,,,,False,,
417,合百集团,000417.SZ,SZSE,主板,安徽,百货,19960812,N,,,,,,,,,,False,,
419,通程控股,000419.SZ,SZSE,主板,湖南,百货,19960816,N,,,,,,,,,,False,,
420,吉林化纤,000420.SZ,SZSE,主板,吉林,化纤,19960802,S,,,,,,,,,,False,,
421,南京公用,000421.SZ,SZSE,主板,江苏,供气供热,19960806,N,,,,,,,,,,False,,
422,湖北宜化,000422.SZ,SZSE,主板,湖北,农药化肥,19960815,S,,,,,,,,,,False,,
423,东阿阿胶,000423.SZ,SZSE,主板,山东,中成药,19960729,S,,,,,,,,,,False,,
425,徐工机械,000425.SZ,SZSE,主板,江苏,工程机械,19960828,S,,,,,,,,,,False,,
426,兴业银锡,000426.SZ,SZSE,主板,内蒙,铅锌,19960828,S,,,,,,,,,,False,,
428,华天酒店,000428.SZ,SZSE,主板,湖南,酒店餐饮,19960808,N,,,,,,,,,,False,,
429,粤高速Ａ,000429.SZ,SZSE,主板,广东,路桥,19980220,S,,,,,,,,,,False,,
430,张家界,000430.SZ,SZSE,主板,湖南,旅游景点,19960829,N,,,,,,,,,,False,,
488,ST晨鸣,000488.SZ,SZSE,主板,山东,造纸,20001120,N,,,,,,,,,,True,,
498,山东路桥,000498.SZ,SZSE,主板,山东,建筑工程,19970609,S,,,,,,,,,,False,,
501,武商集团,000501.SZ,SZSE,主板,湖北,百货,19921120,S,,,,,,,,,,False,,
503,国新健康,000503.SZ,SZSE,主板,山东,软件服务,19921130,S,,,,,,,,,,False,,
504,*ST生物,000504.SZ,SZSE,主板,湖南,医疗保健,19921208,N,,,,,,,,,,True,,
505,京粮控股,000505.SZ,SZSE,主板,海南,食品,19921221,N,,,,,,,,,,False,,
506,招金黄金,000506.SZ,SZSE,主板,山东,黄金,19930312,S,,,,,,,,,,False,,
507,珠海港,000507.SZ,SZSE,主板,广东,新型电力,19930326,S,,,,,,,,,,False,,
509,华塑控股,000509.SZ,SZSE,主板,四川,元器件,19930507,N,,,,,,,,,,False,,
510,新金路,000510.SZ,SZSE,主板,四川,化工原料,19930507,N,,,,,,,,,,False,,
513,丽珠集团,000513.SZ,SZSE,主板,广东,化学制药,19931028,S,,,,,,,,,,False,,
514,渝开发,000514.SZ,SZSE,主板,重庆,区域地产,19930712,N,,,,,,,,,,False,,
516,国际医学,000516.SZ,SZSE,主板,陕西,医疗保健,19930809,S,,,,,,,,,,False,,
517,荣安地产,000517.SZ,SZSE,主板,浙江,区域地产,19930806,S,,,,,,,,,,False,,
518,四环生物,000518.SZ,SZSE,主板,江苏,生物制药,19930908,N,,,,,,,,,,False,,
519,中兵红箭,000519.SZ,SZSE,主板,河南,专用机械,19931008,S,,,,,,,,,,False,,
520,凤凰航运,000520.SZ,SZSE,主板,湖北,水运,19931025,N,,,,,,,,,,False,,
521,长虹美菱,000521.SZ,SZSE,主板,安徽,家用电器,19931018,S,,,,,,,,,,False,,
