code,quarter,prob,conduction,sentiment_adj,fused_score,score,target
000001.SZ,2021Q3,0.000475948,0.0,0.0,0.00047594800707884133,1151,0
000001.SZ,2021Q4,0.00055274204,0.0,0.0,0.0005527420435100794,1141,0
000001.SZ,2022Q1,0.00034385797,0.0,0.0,0.00034385797334834933,1175,0
000001.SZ,2022Q2,0.0002719334,0.0,0.0,0.00027193338610231876,1192,0
000001.SZ,2022Q3,0.0003286447,0.0,0.0,0.00032864470267668366,1178,0
000001.SZ,2022Q4,0.00021209233,0.0,0.33333299888889,0.0002120923309121281,1210,0
000001.SZ,2023Q1,0.0004385484,0.0,0.14285699952381,0.0004385483916848898,1157,0
000001.SZ,2023Q2,0.00023423498,0.0,0.0,0.00023423497623298317,1202,0
000001.SZ,2023Q3,0.00023332621,0.0,0.3333333322222222,0.00023332620912697166,1203,0
000001.SZ,2023Q4,0.00036294124,0.0,0.0,0.0003629412385635078,1171,0
000001.SZ,2024Q1,0.00044172554,0.0,0.0,0.0004417255404405296,1157,0
000001.SZ,2024Q2,0.0002532044,0.0,0.4166666652777778,0.0002532044018153101,1197,0
000001.SZ,2024Q3,0.00025974278,0.0,0.0,0.00025974278105422854,1195,0
000001.SZ,2024Q4,0.00021713825,0.0,0.0,0.00021713825117330998,1208,0
000001.SZ,2025Q1,0.00040414467,0.0,0.0,0.0004041446663904935,1163,0
000001.SZ,2025Q2,0.00028814044,0.0,0.9999999966666667,0.00028814043616876006,1188,0
000001.SZ,2025Q3,0.00037902108,0.0,0.22222199925926,0.0003790210757870227,1168,0
000001.SZ,2025Q4,0.000636529,0.0,0.0,0.0006365290028043091,1130,0
000001.SZ,2026Q1,0.00075555,0.0,0.0,0.0007555499905720353,1118,0
000002.SZ,2021Q3,0.00029957006,0.0,0.44444466518518444,0.00029957006336189806,1185,0
000002.SZ,2021Q4,0.00030640606,0.0,0.6666666644444444,0.00030640605837106705,1183,0
000002.SZ,2022Q1,0.00058017136,0.0,0.0,0.0005801713559776545,1137,0
000002.SZ,2022Q2,0.00034312234,0.0,0.2083333326388889,0.00034312234492972493,1175,0
000002.SZ,2022Q3,0.00037812695,0.0,0.33333299888889006,0.00037812694790773094,1168,0
000002.SZ,2022Q4,0.00025072307,0.0,0.14814799950617333,0.0002507230674382299,1198,0
000002.SZ,2023Q1,0.00027563443,0.0,0.0,0.0002756344329100102,1191,0
000002.SZ,2023Q2,0.00021414322,0.13484042478965833,0.0,0.0002141432196367532,1209,0
000002.SZ,2023Q3,0.00019883114,0.13484042478965833,0.42857099857143,0.00019883114146068692,1214,0
000002.SZ,2023Q4,0.00042152827,0.13484042478965833,0.0,0.0004215282679069787,1160,0
000002.SZ,2024Q1,0.0013398762,0.13484042478965833,0.44444466518518444,0.001339876209385693,1077,0
000002.SZ,2024Q2,0.00093550346,0.26968084957931665,0.22222199925926,0.0009355034562759101,1103,0
000002.SZ,2024Q3,0.00061927567,0.13484042478965833,0.5925926646913579,0.0006192756700329483,1132,0
000002.SZ,2024Q4,0.0016601969,0.13484042478965833,0.11111133296296223,0.0016601969255134463,1061,0
000002.SZ,2025Q1,0.0016055256,0.13484042478965833,0.1666666661111111,0.0016055256128311157,1064,0
000002.SZ,2025Q2,0.000679781,0.26968084957931665,0.0,0.0006797810201533139,1126,0
000002.SZ,2025Q3,0.0011089472,0.26968084957931665,0.0,0.0011089472100138664,1090,0
000002.SZ,2025Q4,0.0016610468,0.26968084957931665,0.0,0.001661046757362783,1061,0
000002.SZ,2026Q1,0.0047854306,0.26968084957931665,0.0,0.004785430617630482,985,0
000004.SZ,2021Q3,0.0018737101,0.0,0.9999999966666667,0.0018737100763246417,1052,0
000004.SZ,2021Q4,0.11345641,0.04722478632993135,0.9999999966666667,0.11345641314983368,748,0
000004.SZ,2022Q1,0.9879531,0.046325266590313614,0.9999999966666667,0.9879531264305115,282,1
000004.SZ,2022Q2,0.9964798,0.06663223276688944,0.9999999966666667,0.9964798092842102,192,1
000004.SZ,2022Q3,0.9829761,0.053807002123704976,0.9999999966666667,0.9829760789871216,307,1
000004.SZ,2022Q4,0.9803396,0.05264234839808365,0.9999999966666667,0.9803395867347717,318,1
000004.SZ,2023Q1,0.9616755,0.051746308425350315,0.6666666644444444,0.9616755247116089,367,1
000004.SZ,2023Q2,0.3230309,0.07064122602464835,0.6666666644444444,0.32303088903427124,653,0
000004.SZ,2023Q3,0.20157132,0.04983763311457919,0.6666666644444444,0.20157131552696228,699,0
000004.SZ,2023Q4,0.15738565,0.04883687742954749,0.6666666644444444,0.15738564729690552,721,0
000004.SZ,2024Q1,0.31691942,0.057906583237892016,0.6666666644444444,0.3169194161891937,655,0
000004.SZ,2024Q2,0.11123807,0.07690360461633089,0.0,0.11123806983232498,749,0
000004.SZ,2024Q3,0.114380985,0.05745062588956216,0.0,0.11438098549842834,747,0
000004.SZ,2024Q4,0.14104673,0.06702573020448918,0.0,0.14104673266410828,730,0
000004.SZ,2025Q1,0.19842969,0.06676288420368727,0.0,0.19842968881130219,700,1
000004.SZ,2025Q2,0.4489547,0.11355999203072988,0.0,0.448954701423645,614,1
000004.SZ,2025Q3,0.26081154,0.12302332469995736,0.0,0.26081153750419617,675,1
000004.SZ,2025Q4,0.00314919,0.10409665936150238,0.0,0.0031491899862885475,1015,1
000004.SZ,2026Q1,0.31593758,0.10329282415407764,0.9999999966666667,0.3159375786781311,655,0
000006.SZ,2021Q3,0.0030937453,0.0,0.0,0.0030937453266233206,1016,0
000006.SZ,2021Q4,0.0058931634,0.09588804930442467,0.0,0.0058931633830070496,969,0
000006.SZ,2022Q1,0.0061347447,0.09588804930442467,0.0,0.006134744733572006,966,0
000006.SZ,2022Q2,0.00063759455,0.09588804930442467,0.0,0.0006375945522449911,1130,0
000006.SZ,2022Q3,0.00047363914,0.047944024652212335,0.0,0.00047363914200104773,1152,0
000006.SZ,2022Q4,0.00023407178,0.047944024652212335,0.0,0.00023407177650369704,1203,0
000006.SZ,2023Q1,0.0012236824,0.047944024652212335,0.0,0.001223682425916195,1083,0
000006.SZ,2023Q2,0.0017724412,0.09588804930442467,0.0,0.001772441202774644,1056,0
000006.SZ,2023Q3,0.0019699614,0.047944024652212335,0.0,0.0019699614495038986,1049,0
000006.SZ,2023Q4,0.06739833,0.047944024652212335,0.0,0.06739833205938339,789,0
000006.SZ,2024Q1,0.0031147893,0.047944024652212335,0.0,0.0031147892586886883,1016,0
