shenwan_industry,pagerank,weighted_out_degree,weighted_in_degree,betweenness,clustering
C37铁路、船舶、航空航天和其他运输设备制造业,0.01312,1.827136,3.068484,0.030624,0.06086
IT设备,0.012709,2.045876,2.947084,0.003143,0.064021
专用机械,0.0102,1.598081,2.56882,0.0,0.063075
中成药,0.009073,4.442329,2.722695,0.007178,0.059901
乳制品,0.007108,2.529236,2.135846,0.003823,0.044198
互联网,0.010288,3.207759,2.439005,0.011128,0.054599
仓储物流,0.008477,4.470032,2.515923,0.008919,0.051622
供气供热,0.006639,2.564716,1.649022,0.010449,0.040389
保险,0.003894,2.715203,0.852636,0.0,0.021671
元器件,0.010955,2.150788,2.853102,0.0,0.064667
全国地产,0.008399,0.596114,1.874157,0.00068,0.044717
公共交通,0.009106,2.414202,2.20928,0.011043,0.04846
公路,0.006608,2.53588,1.849535,0.002888,0.040348
其他商业,0.006989,3.961735,1.825506,0.004332,0.043949
其他建材,0.010446,2.214277,2.856391,0.01614,0.058456
农业综合,0.008631,3.20556,2.661426,0.037037,0.049784
农用机械,0.010286,2.024759,2.436872,0.000934,0.056057
农药化肥,0.009073,4.442329,2.722695,0.007178,0.059583
出版业,0.009013,0.153602,2.264013,0.0,0.036369
化学制药,0.008264,2.871279,2.410262,0.0,0.051932
化工原料,0.008565,2.58863,2.359377,0.0,0.055347
化工机械,0.012017,1.146605,2.855273,0.000382,0.053217
化纤,0.010613,4.743725,3.254774,0.043323,0.065109
区域地产,0.008949,2.588681,2.240815,0.001019,0.058051
医疗保健,0.010124,1.999684,2.773205,0.0,0.05991
医药商业,0.005758,3.735228,1.554228,0.004825,0.041623
半导体,0.011555,2.362914,2.903525,0.0,0.065726
商品城,0.009367,4.387213,2.340526,0.163863,0.061307
商贸代理,0.006178,1.983181,1.677371,0.0,0.043307
啤酒,0.007595,1.89601,2.396424,0.003037,0.037606
园区开发,0.007712,1.644044,1.769073,0.00017,0.046928
塑料,0.011451,3.314092,3.249089,0.0,0.067257
多元金融,0.005403,3.282399,1.319322,0.000255,0.042413
家居用品,0.010817,1.653011,2.778457,0.001444,0.055593
家用电器,0.012437,2.277117,3.22367,0.013422,0.06376
小金属,0.00987,1.796823,2.527936,0.0,0.05246
工程机械,0.011844,2.704238,2.995341,0.009259,0.068215
广告包装,0.011337,2.404065,2.975136,0.014441,0.063717
建筑工程,0.010323,0.522558,2.538792,0.0,0.043544
影视音像,0.011476,1.712185,2.501185,0.006201,0.044388
房产服务,0.008846,1.856362,1.919889,0.005946,0.047619
批发业,0.005758,3.735228,1.554228,0.004804,0.046532
摩托车,0.01319,2.208204,3.078211,0.026928,0.05254
文教休闲,0.011303,1.814868,2.726068,0.0,0.058527
新型电力,0.008989,2.123294,2.41099,0.013846,0.054503
旅游景点,0.009212,1.630152,2.17452,0.00017,0.049482
旅游服务,0.007998,2.340863,2.102209,8.5e-05,0.054925
日用化工,0.009074,2.879901,2.616679,0.0,0.052754
普钢,0.007366,2.174017,1.853905,0.003738,0.039567
服饰,0.009149,1.082468,2.245153,0.002124,0.043156
机场,0.007174,2.785603,1.8986,0.00875,0.052642
机床制造,0.011836,1.505493,2.814967,0.009684,0.044809
机械基件,0.011263,2.754865,2.914066,0.00068,0.0667
林业,0.008104,0.286115,2.582092,0.00017,0.027136
染料涂料,0.012141,4.332497,3.536093,0.114169,0.074538
橡胶,0.010439,4.689949,3.211404,0.086986,0.066109
水力发电,0.005996,1.4393,1.609704,0.000934,0.036928
水务,0.007484,0.125515,2.029712,0.0,0.018767
水泥,0.011221,1.424859,3.01382,0.010151,0.042054
水运,0.008713,4.567652,2.666788,0.021016,0.073057
汽车整车,0.01312,1.827136,3.068484,0.024252,0.039302
汽车服务,0.006933,2.779962,1.766429,0.00034,0.056051
汽车配件,0.011397,2.230359,2.969247,8.5e-05,0.062093
渔业,0.007101,2.814396,2.105054,0.001274,0.040255
港口,0.008713,4.567652,2.666788,0.015112,0.073989
火力发电,0.007299,3.643397,2.078679,0.028797,0.063374
焦炭加工,0.006945,2.973926,1.642382,0.009514,0.05267
煤炭开采,0.005089,0.94122,1.130068,0.0,0.024661
特种钢,0.010813,2.743582,2.602377,0.021662,0.048624
环境保护,0.009801,1.489638,2.500144,0.009174,0.050362
玻璃,0.011221,1.424859,3.01382,0.010151,0.036488
生物制药,0.007402,2.978799,2.093124,0.0,0.059419
电信运营,0.011342,2.386069,2.514364,0.061077,0.044932
电器仪表,0.010574,1.822207,2.59519,0.0,0.05265
电气设备,0.011323,1.988793,2.8882,0.0,0.057653
白酒,0.007595,1.89601,2.396424,0.003037,0.036758
百货,0.005758,3.735228,1.554228,0.004804,0.064494
石油加工,0.006834,2.556788,1.777008,0.009599,0.050727
石油开采,0.006339,0.425708,1.6014,0.0,0.017043
石油贸易,0.005758,3.735228,1.554228,0.004804,0.065876
矿物制品,0.010819,2.188865,2.810279,0.009004,0.049158
种植业,0.006733,3.316392,1.936697,0.00051,0.051902
空运,0.008713,4.567652,2.666788,0.015112,0.081803
红黄酒,0.007595,1.89601,2.396424,0.003037,0.034356
纺织,0.008753,0.330867,2.549811,0.0,0.01592
纺织机械,0.011772,1.395514,2.932932,0.011128,0.037814
综合类,0.008438,2.121684,2.116002,0.003908,0.054038
航空,0.010394,1.719692,2.525236,0.00068,0.044904
船舶,0.012753,2.450554,2.949543,0.021152,0.050848
装修装饰,0.011046,1.676868,2.614125,0.021577,0.050791
证券,0.003894,2.715203,0.852636,0.0,0.052447
超市连锁,0.005758,3.735228,1.554228,0.004804,0.070746
路桥,0.008713,4.567652,2.666788,0.015112,0.08417
软件服务,0.010495,2.020812,2.443757,0.0,0.050691
软饮料,0.007595,1.89601,2.396424,0.003037,0.033569
轻工机械,0.012017,1.146605,2.855273,0.000382,0.03013
运输设备,0.011769,1.693969,2.774583,0.001189,0.043812
通信设备,0.011039,1.766121,2.719509,0.004587,0.047211
造纸,0.009088,0.990943,2.600676,0.016735,0.032962
酒店餐饮,0.011075,0.802262,3.393864,0.030326,0.02793
钢加工,0.009929,2.611474,2.568501,0.020217,0.045558
铁路,0.008713,4.567652,2.666788,0.015112,0.087672
铅锌,0.007366,2.174017,1.853905,0.003738,0.032879
铜,0.009579,1.811694,2.482553,0.0,0.040536
铝,0.009566,2.209291,2.402592,0.003143,0.045523
银行,0.003894,2.715203,0.852636,0.0,0.058457
陶瓷,0.012144,3.322953,3.4883,0.036273,0.059657
食品,0.00848,3.213136,2.603526,0.001019,0.066325
饲料,0.007292,1.368966,2.225702,0.0,0.029171
黄金,0.005295,0.402207,1.353868,0.0,0.026583
