source,target,weight
汽车整车,C37铁路、船舶、航空航天和其他运输设备制造业,0.30163
C37铁路、船舶、航空航天和其他运输设备制造业,汽车整车,0.30163
软饮料,酒店餐饮,0.25668
红黄酒,酒店餐饮,0.25668
白酒,酒店餐饮,0.25668
啤酒,酒店餐饮,0.25668
渔业,红黄酒,0.222992
渔业,软饮料,0.222992
渔业,白酒,0.222992
渔业,啤酒,0.222992
摩托车,C37铁路、船舶、航空航天和其他运输设备制造业,0.212475
摩托车,汽车整车,0.212475
电信运营,影视音像,0.211519
渔业,酒店餐饮,0.207414
种植业,软饮料,0.20328
种植业,红黄酒,0.20328
种植业,白酒,0.20328
种植业,啤酒,0.20328
C37铁路、船舶、航空航天和其他运输设备制造业,摩托车,0.201347
汽车整车,摩托车,0.201347
影视音像,电信运营,0.199593
水泥,玻璃,0.19045
玻璃,水泥,0.19045
乳制品,酒店餐饮,0.188694
化纤,橡胶,0.179792
化纤,染料涂料,0.175327
饲料,酒店餐饮,0.17137
农业综合,酒店餐饮,0.170656
特种钢,机床制造,0.170356
渔业,饲料,0.164431
互联网,电信运营,0.162938
橡胶,化纤,0.162875
铅锌,钢加工,0.158586
普钢,钢加工,0.158586
种植业,酒店餐饮,0.156425
染料涂料,化纤,0.155841
化纤,陶瓷,0.154808
焦炭加工,钢加工,0.154023
种植业,饲料,0.15238
染料涂料,橡胶,0.151987
橡胶,染料涂料,0.151715
种植业,渔业,0.150175
路桥,水运,0.149728
空运,水运,0.149728
铁路,空运,0.149728
路桥,铁路,0.149728
铁路,水运,0.149728
铁路,港口,0.149728
路桥,港口,0.149728
空运,港口,0.149728
路桥,空运,0.149728
空运,路桥,0.149728
空运,铁路,0.149728
铁路,路桥,0.149728
水运,路桥,0.149728
港口,空运,0.149728
港口,水运,0.149728
水运,港口,0.149728
水运,空运,0.149728
港口,铁路,0.149728
港口,路桥,0.149728
水运,铁路,0.149728
渔业,乳制品,0.14906
农业综合,啤酒,0.146399
农业综合,白酒,0.146399
农业综合,红黄酒,0.146399
农业综合,软饮料,0.146399
特种钢,钢加工,0.146246
渔业,农业综合,0.146103
食品,酒店餐饮,0.144299
机床制造,轻工机械,0.142101
机床制造,化工机械,0.142101
化纤,日用化工,0.140948
电信运营,互联网,0.140947
种植业,乳制品,0.136905
船舶,电信运营,0.136347
橡胶,农业综合,0.135967
中成药,化纤,0.134466
农药化肥,化纤,0.134466
农药化肥,染料涂料,0.133829
中成药,染料涂料,0.133829
种植业,农业综合,0.133446
橡胶,陶瓷,0.133341
农药化肥,橡胶,0.132221
中成药,橡胶,0.132221
陶瓷,水泥,0.132148
陶瓷,玻璃,0.132148
化纤,塑料,0.130413
特种钢,化工机械,0.130024
特种钢,轻工机械,0.130024
软件服务,电信运营,0.12883
电信运营,公共交通,0.128764
染料涂料,陶瓷,0.128435
橡胶,日用化工,0.126961
铁路,仓储物流,0.124958
路桥,仓储物流,0.124958
港口,仓储物流,0.124958
空运,仓储物流,0.124958
水运,仓储物流,0.124958
化纤,农药化肥,0.123559
化纤,中成药,0.123559
农业综合,渔业,0.122479
软饮料,白酒,0.121502
红黄酒,软饮料,0.121502
白酒,啤酒,0.121502
软饮料,红黄酒,0.121502
白酒,红黄酒,0.121502
红黄酒,啤酒,0.121502
红黄酒,白酒,0.121502
啤酒,白酒,0.121502
啤酒,红黄酒,0.121502
啤酒,软饮料,0.121502
白酒,软饮料,0.121502
软饮料,啤酒,0.121502
电信运营,软件服务,0.120752
互联网,影视音像,0.12074
橡胶,白酒,0.120234
橡胶,啤酒,0.120234
橡胶,红黄酒,0.120234
橡胶,软饮料,0.120234
仓储物流,铁路,0.120072
仓储物流,水运,0.120072
仓储物流,港口,0.120072
仓储物流,空运,0.120072
仓储物流,路桥,0.120072
染料涂料,日用化工,0.119753
陶瓷,化纤,0.117975
铅锌,特种钢,0.11797
普钢,特种钢,0.11797
农药化肥,陶瓷,0.117925
中成药,陶瓷,0.117925
日用化工,化纤,0.117376
渔业,食品,0.117366
摩托车,船舶,0.116928
火力发电,水力发电,0.116871
橡胶,化学制药,0.116773
新型电力,水力发电,0.115603
陶瓷,橡胶,0.115352
钢加工,特种钢,0.115301
火力发电,新型电力,0.115179
日用化工,橡胶,0.114766
橡胶,食品,0.114519
渔业,种植业,0.114117
焦炭加工,特种钢,0.113761
陶瓷,染料涂料,0.113731
染料涂料,塑料,0.113408
商品城,其他商业,0.112612
船舶,C37铁路、船舶、航空航天和其他运输设备制造业,0.112099
船舶,汽车整车,0.112099
橡胶,塑料,0.111452
农业综合,饲料,0.110934
新型电力,火力发电,0.110745
船舶,摩托车,0.110267
软饮料,渔业,0.110222
红黄酒,渔业,0.110222
白酒,渔业,0.110222
啤酒,渔业,0.110222
种植业,食品,0.110217
日用化工,染料涂料,0.109626
化纤,化学制药,0.109536
橡胶,农药化肥,0.108803
橡胶,中成药,0.108803
塑料,化纤,0.106035
化学制药,橡胶,0.105616
电信运营,船舶,0.105213
染料涂料,农药化肥,0.104728
染料涂料,中成药,0.104728
塑料,染料涂料,0.104556
中成药,日用化工,0.103832
农药化肥,日用化工,0.103832
塑料,橡胶,0.103763
通信设备,电信运营,0.103615
钢加工,机床制造,0.103548
塑料,陶瓷,0.10347
橡胶,渔业,0.103344
银行,证券,0.102755
银行,保险,0.102755
证券,保险,0.102755
保险,证券,0.102755
证券,银行,0.102755
保险,银行,0.102755
公共交通,电信运营,0.102656
IT设备,电信运营,0.102261
橡胶,饲料,0.102014
水力发电,火力发电,0.101984
化学制药,化纤,0.101721
水力发电,新型电力,0.101691
汽车整车,船舶,0.100947
C37铁路、船舶、航空航天和其他运输设备制造业,船舶,0.100947
中成药,塑料,0.100771
农药化肥,塑料,0.100771
轻工机械,机床制造,0.100618
化工机械,机床制造,0.100618
超市连锁,林业,0.100555
百货,林业,0.100555
批发业,林业,0.100555
石油贸易,林业,0.100555
医药商业,林业,0.100555
日用化工,陶瓷,0.099201
化工机械,轻工机械,0.099168
轻工机械,化工机械,0.099168
机床制造,特种钢,0.099122
化纤,广告包装,0.098332
化纤,医疗保健,0.09823
农业综合,乳制品,0.097998
化纤,化工原料,0.097652
水泥,陶瓷,0.097599
玻璃,陶瓷,0.097599
铝,钢加工,0.097227
陶瓷,塑料,0.09706
化纤,纺织,0.09668
农业综合,食品,0.096431
染料涂料,纺织机械,0.096265
港口,公路,0.095867
水运,公路,0.095867
路桥,公路,0.095867
空运,公路,0.095867
铁路,公路,0.095867
钢加工,铝,0.095701
船舶,影视音像,0.095556
摩托车,IT设备,0.095325
船舶,IT设备,0.095264
乳制品,红黄酒,0.095219
乳制品,白酒,0.095219
乳制品,啤酒,0.095219
乳制品,软饮料,0.095219
石油加工,化纤,0.095106
化纤,其他建材,0.095032
机床制造,农用机械,0.094786
化学制药,染料涂料,0.094773
影视音像,互联网,0.094285
农业综合,橡胶,0.094006
商品城,房产服务,0.09347
商品城,旅游服务,0.093107
商品城,石油贸易,0.092526
商品城,医药商业,0.092526
商品城,百货,0.092526
商品城,超市连锁,0.092526
商品城,批发业,0.092526
石油加工,橡胶,0.09205
普钢,铅锌,0.092035
铅锌,普钢,0.092035
中成药,农药化肥,0.092017
农药化肥,中成药,0.092017
染料涂料,化学制药,0.091694
软件服务,影视音像,0.091607
橡胶,医疗保健,0.091555
染料涂料,化工原料,0.091318
陶瓷,日用化工,0.091207
IT设备,船舶,0.090742
互联网,船舶,0.090597
化纤,生物制药,0.090023
电信运营,通信设备,0.089774
纺织机械,纺织,0.08969
生物制药,化纤,0.089644
化纤,造纸,0.089302
橡胶,广告包装,0.089273
生物制药,染料涂料,0.089219
软饮料,农业综合,0.088689
红黄酒,农业综合,0.088689
白酒,农业综合,0.088689
啤酒,农业综合,0.088689
生物制药,橡胶,0.088147
石油加工,染料涂料,0.087863
橡胶,纺织,0.087806
染料涂料,家用电器,0.087586
化纤,石油加工,0.087533
中成药,纺织,0.087174
农药化肥,纺织,0.087174
食品,橡胶,0.086871
影视音像,公共交通,0.086869
供气供热,水力发电,0.086774
焦炭加工,普钢,0.086753
焦炭加工,铅锌,0.086753
特种钢,农用机械,0.086711
船舶,互联网,0.086677
商品城,互联网,0.086568
橡胶,造纸,0.086276
农业综合,种植业,0.086178
化纤,农业综合,0.08616
商品城,电信运营,0.086121
互联网,软件服务,0.085967
IT设备,C37铁路、船舶、航空航天和其他运输设备制造业,0.085437
IT设备,汽车整车,0.085437
普钢,铝,0.085225
铅锌,铝,0.085225
IT设备,摩托车,0.085134
化学制药,陶瓷,0.085109
橡胶,化工原料,0.084714
港口,火力发电,0.084699
铁路,火力发电,0.084699
路桥,火力发电,0.084699
水运,火力发电,0.084699
空运,火力发电,0.084699
商品城,汽车服务,0.084698
乳制品,渔业,0.084366
钢加工,化工机械,0.084303
钢加工,轻工机械,0.084303
白酒,饲料,0.084191
红黄酒,饲料,0.084191
啤酒,饲料,0.084191
软饮料,饲料,0.084191
化工原料,染料涂料,0.084142
火力发电,供气供热,0.083867
焦炭加工,铝,0.083853
陶瓷,其他建材,0.083852
供气供热,火力发电,0.083772
农药化肥,化学制药,0.083529
中成药,化学制药,0.083529
染料涂料,医疗保健,0.083468
水泥,装修装饰,0.083458
玻璃,装修装饰,0.083458
农药化肥,广告包装,0.082959
中成药,广告包装,0.082959
化纤,家居用品,0.08276
供气供热,新型电力,0.082177
塑料,日用化工,0.081841
汽车整车,路桥,0.081737
C37铁路、船舶、航空航天和其他运输设备制造业,铁路,0.081737
汽车整车,水运,0.081737
C37铁路、船舶、航空航天和其他运输设备制造业,路桥,0.081737
汽车整车,空运,0.081737
汽车整车,铁路,0.081737
C37铁路、船舶、航空航天和其他运输设备制造业,空运,0.081737
C37铁路、船舶、航空航天和其他运输设备制造业,水运,0.081737
C37铁路、船舶、航空航天和其他运输设备制造业,港口,0.081737
汽车整车,港口,0.081737
日用化工,塑料,0.081645
红黄酒,乳制品,0.081579
啤酒,乳制品,0.081579
软饮料,乳制品,0.081579
白酒,乳制品,0.081579
化纤,家用电器,0.081566
饲料,啤酒,0.081224
饲料,红黄酒,0.081224
饲料,软饮料,0.081224
饲料,白酒,0.081224
农用机械,机床制造,0.081214
橡胶,其他建材,0.081168
铅锌,焦炭加工,0.080896
普钢,焦炭加工,0.080896
影视音像,软件服务,0.080892
证券,多元金融,0.080777
银行,多元金融,0.080777
保险,多元金融,0.080777
农用机械,轻工机械,0.080743
农用机械,化工机械,0.080743
橡胶,乳制品,0.080376
公路,空运,0.080366
公路,铁路,0.080366
公路,路桥,0.080366
公路,港口,0.080366
公路,水运,0.080366
