quarter_label,gdp_yoy,cpi_yoy,pmi,m2_yoy,shero,shibor_on,shibor_1m,shibor_1y
2020Q1,-6.8,4.97,45.9,9.1,111110.0,1.6,2.39,2.76
2020Q2,-1.6,2.73,50.77,11.1,97574.0,1.33,1.53,1.89
2020Q3,0.7,2.27,51.2,10.67,87474.0,1.82,2.34,2.82
2020Q4,2.3,0.07,51.8,10.43,52476.0,1.6,2.68,3.16
2021Q1,18.9,-0.03,51.27,9.63,102889.0,1.91,2.61,3.02
2021Q2,13.0,1.1,51.0,8.33,75109.0,1.97,2.44,2.95
2021Q3,10.2,0.83,50.03,8.27,69671.0,2.02,2.33,2.75
2021Q4,8.6,1.77,49.87,8.73,65841.0,1.93,2.38,2.75
2022Q1,4.8,1.1,49.93,9.57,120494.0,1.94,2.36,2.63
2022Q2,2.7,2.23,49.07,11.0,89668.0,1.44,2.03,2.43
2022Q3,3.2,2.67,49.5,12.1,67908.0,1.21,1.63,2.1
2022Q4,3.1,1.83,48.07,12.0,42029.0,1.27,1.88,2.29
2023Q1,4.7,1.27,51.53,12.73,145433.0,1.64,2.28,2.64
2023Q2,5.7,0.1,49.0,11.77,70074.0,1.47,2.18,2.52
2023Q3,5.4,-0.07,49.73,10.53,77971.0,1.59,2.02,2.33
2023Q4,5.4,-0.33,49.3,10.0,62396.0,1.72,2.31,2.56
2024Q1,5.3,-0.0,49.7,8.57,128028.0,1.71,2.2,2.37
2024Q2,5.0,0.27,49.8,6.8,52950.0,1.77,1.95,2.12
2024Q3,4.8,0.5,49.43,6.47,75665.0,1.71,1.84,1.96
2024Q4,5.0,0.2,50.17,7.3,65915.0,1.43,1.77,1.87
2025Q1,5.4,-0.1,49.93,7.0,151838.0,1.78,1.8,1.83
2025Q2,5.3,-0.03,49.4,8.07,76750.0,1.52,1.69,1.73
2025Q3,5.2,-0.23,49.5,8.67,72266.0,1.38,1.54,1.65
2025Q4,5.0,0.57,49.43,8.23,55179.0,1.33,1.54,1.66
2026Q1,5.0,0.83,49.57,8.83,,1.33,1.54,1.61
